SampleID,ChromatographyAndPhase,MassSpectrometer,HealthStatus
MSV000078556/ccms_peak/Human_Swabs/Man/1m__BG11_01_988.mzXML,reverse phase (C18),impact Series,healthy
MSV000078556/ccms_peak/Human_Swabs/Man/1m__BG12_01_989.mzXML,reverse phase (C18),impact Series,healthy
MSV000078556/ccms_peak/Human_Swabs/Man/1m__BG1_01_978.mzXML,reverse phase (C18),impact Series,healthy
MSV000078556/ccms_peak/Human_Swabs/Man/1m__BG2_01_979.mzXML,reverse phase (C18),impact Series,healthy
MSV000078556/ccms_peak/Human_Swabs/Man/1m__BG3_01_980.mzXML,reverse phase (C18),impact Series,healthy
MSV000078556/ccms_peak/Human_Swabs/Man/1m__BG4_01_981.mzXML,reverse phase (C18),impact Series,healthy
MSV000078556/ccms_peak/Human_Swabs/Man/1m__BG5_01_982.mzXML,reverse phase (C18),impact Series,healthy
MSV000078556/ccms_peak/Human_Swabs/Man/1m__BG6_01_983.mzXML,reverse phase (C18),impact Series,healthy
MSV000078556/ccms_peak/Human_Swabs/Man/1m__BG7_01_984.mzXML,reverse phase (C18),impact Series,healthy
MSV000078556/ccms_peak/Human_Swabs/Man/1m__BG8_01_985.mzXML,reverse phase (C18),impact Series,healthy
MSV000078556/ccms_peak/Human_Swabs/Man/1m__BG9_01_986.mzXML,reverse phase (C18),impact Series,healthy
MSV000078556/ccms_peak/Human_Swabs/Man/1m__BH10_01_999.mzXML,reverse phase (C18),impact Series,healthy
MSV000078556/ccms_peak/Human_Swabs/Man/1m__BH11_01_1000.mzXML,reverse phase (C18),impact Series,healthy
MSV000078556/ccms_peak/Human_Swabs/Man/1m__BH1_01_990.mzXML,reverse phase (C18),impact Series,healthy
MSV000078556/ccms_peak/Human_Swabs/Man/1m__BH2_01_991.mzXML,reverse phase (C18),impact Series,healthy
MSV000078556/ccms_peak/Human_Swabs/Man/1m__BH3_01_992.mzXML,reverse phase (C18),impact Series,healthy
MSV000078556/ccms_peak/Human_Swabs/Man/1m__BH4_01_993.mzXML,reverse phase (C18),impact Series,healthy
MSV000078556/ccms_peak/Human_Swabs/Man/1m__BH5_01_994.mzXML,reverse phase (C18),impact Series,healthy
MSV000078556/ccms_peak/Human_Swabs/Man/1m__BH6_01_995.mzXML,reverse phase (C18),impact Series,healthy
MSV000078556/ccms_peak/Human_Swabs/Man/1m__BH7_01_996.mzXML,reverse phase (C18),impact Series,healthy
MSV000078556/ccms_peak/Human_Swabs/Man/1m__BH8_01_997.mzXML,reverse phase (C18),impact Series,healthy
MSV000078556/ccms_peak/Human_Swabs/Man/1m__BH9_01_998.mzXML,reverse phase (C18),impact Series,healthy
MSV000078556/ccms_peak/Human_Swabs/Man/2m__BB10_01_1027.mzXML,reverse phase (C18),impact Series,healthy
MSV000078556/ccms_peak/Human_Swabs/Man/2m__BB11_01_1028.mzXML,reverse phase (C18),impact Series,healthy
MSV000078556/ccms_peak/Human_Swabs/Man/2m__BB12_01_1029.mzXML,reverse phase (C18),impact Series,healthy
MSV000078556/ccms_peak/Human_Swabs/Man/2m__BB3_01_1020.mzXML,reverse phase (C18),impact Series,healthy
MSV000078556/ccms_peak/Human_Swabs/Man/2m__BB5_01_1022.mzXML,reverse phase (C18),impact Series,healthy
MSV000078556/ccms_peak/Human_Swabs/Man/2m__BB7_01_1024.mzXML,reverse phase (C18),impact Series,healthy
MSV000078556/ccms_peak/Human_Swabs/Man/2m__BC11_01_1040.mzXML,reverse phase (C18),impact Series,healthy
MSV000078556/ccms_peak/Human_Swabs/Man/2m__BC12_01_1041.mzXML,reverse phase (C18),impact Series,healthy
MSV000078556/ccms_peak/Human_Swabs/Man/2m__BC3_01_1032.mzXML,reverse phase (C18),impact Series,healthy
MSV000078556/ccms_peak/Human_Swabs/Man/2m__BC4_01_1033.mzXML,reverse phase (C18),impact Series,healthy
MSV000078556/ccms_peak/Human_Swabs/Man/2m__BC5_01_1034.mzXML,reverse phase (C18),impact Series,healthy
MSV000078556/ccms_peak/Human_Swabs/Man/2m__BC6_01_1035.mzXML,reverse phase (C18),impact Series,healthy
MSV000078556/ccms_peak/Human_Swabs/Man/2m__BC8_01_1037.mzXML,reverse phase (C18),impact Series,healthy
MSV000078556/ccms_peak/Human_Swabs/Man/2m__BD10_01_1051.mzXML,reverse phase (C18),impact Series,healthy
MSV000078556/ccms_peak/Human_Swabs/Man/2m__BD11_01_1052.mzXML,reverse phase (C18),impact Series,healthy
MSV000078556/ccms_peak/Human_Swabs/Man/2m__BD2_01_1043.mzXML,reverse phase (C18),impact Series,healthy
MSV000078556/ccms_peak/Human_Swabs/Man/2m__BD3_01_1044.mzXML,reverse phase (C18),impact Series,healthy
MSV000078556/ccms_peak/Human_Swabs/Man/2m__BD4_01_1045.mzXML,reverse phase (C18),impact Series,healthy
MSV000078556/ccms_peak/Human_Swabs/Man/2m__BD5_01_1046.mzXML,reverse phase (C18),impact Series,healthy
MSV000078556/ccms_peak/Human_Swabs/Man/2m__BD7_01_1048.mzXML,reverse phase (C18),impact Series,healthy
MSV000078556/ccms_peak/Human_Swabs/Man/2m__BD9_01_1050.mzXML,reverse phase (C18),impact Series,healthy
MSV000078556/ccms_peak/Human_Swabs/Man/2m__BE11_01_1064.mzXML,reverse phase (C18),impact Series,healthy
MSV000078556/ccms_peak/Human_Swabs/Man/2m__BE12_01_1065.mzXML,reverse phase (C18),impact Series,healthy
MSV000078556/ccms_peak/Human_Swabs/Man/2m__BE2_01_1055.mzXML,reverse phase (C18),impact Series,healthy
MSV000078556/ccms_peak/Human_Swabs/Man/2m__BE3_01_1056.mzXML,reverse phase (C18),impact Series,healthy
MSV000078556/ccms_peak/Human_Swabs/Man/2m__BE7_01_1060.mzXML,reverse phase (C18),impact Series,healthy
MSV000078556/ccms_peak/Human_Swabs/Man/2m__BE9_01_1062.mzXML,reverse phase (C18),impact Series,healthy
MSV000078556/ccms_peak/Human_Swabs/Man/2m__BF10_01_1075.mzXML,reverse phase (C18),impact Series,healthy
MSV000078556/ccms_peak/Human_Swabs/Man/2m__BF11_01_1076.mzXML,reverse phase (C18),impact Series,healthy
MSV000078556/ccms_peak/Human_Swabs/Man/2m__BF12_01_1077.mzXML,reverse phase (C18),impact Series,healthy
MSV000078556/ccms_peak/Human_Swabs/Man/2m__BF1_01_1066.mzXML,reverse phase (C18),impact Series,healthy
MSV000078556/ccms_peak/Human_Swabs/Man/2m__BF2_01_1067.mzXML,reverse phase (C18),impact Series,healthy
MSV000078556/ccms_peak/Human_Swabs/Man/2m__BF3_01_1068.mzXML,reverse phase (C18),impact Series,healthy
MSV000078556/ccms_peak/Human_Swabs/Man/2m__BF5_01_1070.mzXML,reverse phase (C18),impact Series,healthy
MSV000078556/ccms_peak/Human_Swabs/Man/2m__BF6_01_1071.mzXML,reverse phase (C18),impact Series,healthy
MSV000078556/ccms_peak/Human_Swabs/Man/2m__BF7_01_1072.mzXML,reverse phase (C18),impact Series,healthy
MSV000078556/ccms_peak/Human_Swabs/Man/2m__BF9_01_1074.mzXML,reverse phase (C18),impact Series,healthy
MSV000078556/ccms_peak/Human_Swabs/Man/2m__BG10_01_1087.mzXML,reverse phase (C18),impact Series,unknown
MSV000078556/ccms_peak/Human_Swabs/Man/2m__BG11_01_1088.mzXML,reverse phase (C18),impact Series,unknown
MSV000078556/ccms_peak/Human_Swabs/Man/2m__BG12_01_1089.mzXML,reverse phase (C18),impact Series,unknown
MSV000078556/ccms_peak/Human_Swabs/Man/2m__BG1_01_1078.mzXML,reverse phase (C18),impact Series,unknown
MSV000078556/ccms_peak/Human_Swabs/Man/2m__BG2_01_1079.mzXML,reverse phase (C18),impact Series,healthy
MSV000078556/ccms_peak/Human_Swabs/Man/2m__BG3_01_1080.mzXML,reverse phase (C18),impact Series,healthy
MSV000078556/ccms_peak/Human_Swabs/Man/2m__BG4_01_1081.mzXML,reverse phase (C18),impact Series,healthy
MSV000078556/ccms_peak/Human_Swabs/Man/2m__BG5_01_1082.mzXML,reverse phase (C18),impact Series,unknown
MSV000078556/ccms_peak/Human_Swabs/Man/2m__BG6_01_1083.mzXML,reverse phase (C18),impact Series,unknown
MSV000078556/ccms_peak/Human_Swabs/Man/2m__BG7_01_1084.mzXML,reverse phase (C18),impact Series,unknown
MSV000078556/ccms_peak/Human_Swabs/Man/2m__BG8_01_1085.mzXML,reverse phase (C18),impact Series,unknown
MSV000078556/ccms_peak/Human_Swabs/Man/2m__BG9_01_1086.mzXML,reverse phase (C18),impact Series,unknown
MSV000078556/ccms_peak/Human_Swabs/Man/2m__BH11_01_1100.mzXML,reverse phase (C18),impact Series,unknown
MSV000078556/ccms_peak/Human_Swabs/Man/2m__BH1_01_1090.mzXML,reverse phase (C18),impact Series,healthy
MSV000078556/ccms_peak/Human_Swabs/Man/2m__BH2_01_1091.mzXML,reverse phase (C18),impact Series,healthy
MSV000078556/ccms_peak/Human_Swabs/Man/2m__BH3_01_1092.mzXML,reverse phase (C18),impact Series,healthy
MSV000078556/ccms_peak/Human_Swabs/Man/2m__BH4_01_1093.mzXML,reverse phase (C18),impact Series,healthy
MSV000078556/ccms_peak/Human_Swabs/Man/2m__BH5_01_1094.mzXML,reverse phase (C18),impact Series,healthy
MSV000078556/ccms_peak/Human_Swabs/Man/2m__BH6_01_1095.mzXML,reverse phase (C18),impact Series,unknown
MSV000078556/ccms_peak/Human_Swabs/Man/2m__BH9_01_1098.mzXML,reverse phase (C18),impact Series,unknown
MSV000078556/ccms_peak/Human_Swabs/Man/3m__BA10_01_1115.mzXML,reverse phase (C18),impact Series,healthy
MSV000078556/ccms_peak/Human_Swabs/Man/3m__BA11_01_1116.mzXML,reverse phase (C18),impact Series,healthy
MSV000078556/ccms_peak/Human_Swabs/Man/3m__BA12_01_1117.mzXML,reverse phase (C18),impact Series,healthy
MSV000078556/ccms_peak/Human_Swabs/Man/3m__BA2_01_1107.mzXML,reverse phase (C18),impact Series,healthy
MSV000078556/ccms_peak/Human_Swabs/Man/3m__BA3_01_1108.mzXML,reverse phase (C18),impact Series,healthy
MSV000078556/ccms_peak/Human_Swabs/Man/3m__BA4_01_1109.mzXML,reverse phase (C18),impact Series,healthy
MSV000078556/ccms_peak/Human_Swabs/Man/3m__BA5_01_1110.mzXML,reverse phase (C18),impact Series,healthy
MSV000078556/ccms_peak/Human_Swabs/Man/3m__BA6_01_1111.mzXML,reverse phase (C18),impact Series,healthy
MSV000078556/ccms_peak/Human_Swabs/Man/3m__BA7_01_1112.mzXML,reverse phase (C18),impact Series,healthy
MSV000078556/ccms_peak/Human_Swabs/Man/3m__BA8_01_1113.mzXML,reverse phase (C18),impact Series,healthy
MSV000078556/ccms_peak/Human_Swabs/Man/3m__BA9_01_1114.mzXML,reverse phase (C18),impact Series,healthy
MSV000078556/ccms_peak/Human_Swabs/Man/3m__BB10_01_1127.mzXML,reverse phase (C18),impact Series,healthy
MSV000078556/ccms_peak/Human_Swabs/Man/3m__BB11_01_1128.mzXML,reverse phase (C18),impact Series,healthy
MSV000078556/ccms_peak/Human_Swabs/Man/3m__BB12_01_1129.mzXML,reverse phase (C18),impact Series,healthy
MSV000078556/ccms_peak/Human_Swabs/Man/3m__BB1_01_1118.mzXML,reverse phase (C18),impact Series,healthy
MSV000078556/ccms_peak/Human_Swabs/Man/3m__BB2_01_1119.mzXML,reverse phase (C18),impact Series,healthy
MSV000078556/ccms_peak/Human_Swabs/Man/3m__BB3_01_1120.mzXML,reverse phase (C18),impact Series,healthy
MSV000078556/ccms_peak/Human_Swabs/Man/3m__BB4_01_1121.mzXML,reverse phase (C18),impact Series,healthy
MSV000078556/ccms_peak/Human_Swabs/Man/3m__BB5_01_1122.mzXML,reverse phase (C18),impact Series,healthy
MSV000078556/ccms_peak/Human_Swabs/Man/3m__BB6_01_1123.mzXML,reverse phase (C18),impact Series,healthy
MSV000078556/ccms_peak/Human_Swabs/Man/3m__BB7_01_1124.mzXML,reverse phase (C18),impact Series,healthy
MSV000078556/ccms_peak/Human_Swabs/Man/3m__BB8_01_1125.mzXML,reverse phase (C18),impact Series,healthy
MSV000078556/ccms_peak/Human_Swabs/Man/3m__BB9_01_1126.mzXML,reverse phase (C18),impact Series,healthy
MSV000078556/ccms_peak/Human_Swabs/Man/3m__BC10_01_1139.mzXML,reverse phase (C18),impact Series,healthy
MSV000078556/ccms_peak/Human_Swabs/Man/3m__BC11_01_1140.mzXML,reverse phase (C18),impact Series,healthy
MSV000078556/ccms_peak/Human_Swabs/Man/3m__BC12_01_1141.mzXML,reverse phase (C18),impact Series,healthy
MSV000078556/ccms_peak/Human_Swabs/Man/3m__BC1_01_1130.mzXML,reverse phase (C18),impact Series,healthy
MSV000078556/ccms_peak/Human_Swabs/Man/3m__BC2_01_1131.mzXML,reverse phase (C18),impact Series,healthy
MSV000078556/ccms_peak/Human_Swabs/Man/3m__BC3_01_1132.mzXML,reverse phase (C18),impact Series,healthy
MSV000078556/ccms_peak/Human_Swabs/Man/3m__BC4_01_1133.mzXML,reverse phase (C18),impact Series,healthy
MSV000078556/ccms_peak/Human_Swabs/Man/3m__BC5_01_1134.mzXML,reverse phase (C18),impact Series,healthy
MSV000078556/ccms_peak/Human_Swabs/Man/3m__BC6_01_1135.mzXML,reverse phase (C18),impact Series,healthy
MSV000078556/ccms_peak/Human_Swabs/Man/3m__BC7_01_1136.mzXML,reverse phase (C18),impact Series,healthy
MSV000078556/ccms_peak/Human_Swabs/Man/3m__BC8_01_1137.mzXML,reverse phase (C18),impact Series,healthy
MSV000078556/ccms_peak/Human_Swabs/Man/3m__BC9_01_1138.mzXML,reverse phase (C18),impact Series,healthy
MSV000078556/ccms_peak/Human_Swabs/Man/3m__BD10_01_1151.mzXML,reverse phase (C18),impact Series,healthy
MSV000078556/ccms_peak/Human_Swabs/Man/3m__BD11_01_1152.mzXML,reverse phase (C18),impact Series,healthy
MSV000078556/ccms_peak/Human_Swabs/Man/3m__BD12_01_1153.mzXML,reverse phase (C18),impact Series,healthy
MSV000078556/ccms_peak/Human_Swabs/Man/3m__BD1_01_1142.mzXML,reverse phase (C18),impact Series,healthy
MSV000078556/ccms_peak/Human_Swabs/Man/3m__BD2_01_1143.mzXML,reverse phase (C18),impact Series,healthy
MSV000078556/ccms_peak/Human_Swabs/Man/3m__BD3_01_1144.mzXML,reverse phase (C18),impact Series,healthy
MSV000078556/ccms_peak/Human_Swabs/Man/3m__BD4_01_1145.mzXML,reverse phase (C18),impact Series,healthy
MSV000078556/ccms_peak/Human_Swabs/Man/3m__BD5_01_1146.mzXML,reverse phase (C18),impact Series,healthy
MSV000078556/ccms_peak/Human_Swabs/Man/3m__BD6_01_1147.mzXML,reverse phase (C18),impact Series,healthy
MSV000078556/ccms_peak/Human_Swabs/Man/3m__BD7_01_1148.mzXML,reverse phase (C18),impact Series,healthy
MSV000078556/ccms_peak/Human_Swabs/Man/3m__BD8_01_1149.mzXML,reverse phase (C18),impact Series,healthy
MSV000078556/ccms_peak/Human_Swabs/Man/3m__BD9_01_1150.mzXML,reverse phase (C18),impact Series,healthy
MSV000078556/ccms_peak/Human_Swabs/Man/3m__BE10_01_1163.mzXML,reverse phase (C18),impact Series,healthy
MSV000078556/ccms_peak/Human_Swabs/Man/3m__BE11_01_1164.mzXML,reverse phase (C18),impact Series,healthy
MSV000078556/ccms_peak/Human_Swabs/Man/3m__BE12_01_1165.mzXML,reverse phase (C18),impact Series,healthy
MSV000078556/ccms_peak/Human_Swabs/Man/3m__BE1_01_1154.mzXML,reverse phase (C18),impact Series,healthy
MSV000078556/ccms_peak/Human_Swabs/Man/3m__BE2_01_1155.mzXML,reverse phase (C18),impact Series,healthy
MSV000078556/ccms_peak/Human_Swabs/Man/3m__BE3_01_1156.mzXML,reverse phase (C18),impact Series,healthy
MSV000078556/ccms_peak/Human_Swabs/Man/3m__BE4_01_1157.mzXML,reverse phase (C18),impact Series,healthy
MSV000078556/ccms_peak/Human_Swabs/Man/3m__BE5_01_1158.mzXML,reverse phase (C18),impact Series,healthy
MSV000078556/ccms_peak/Human_Swabs/Man/3m__BE6_01_1159.mzXML,reverse phase (C18),impact Series,healthy
MSV000078556/ccms_peak/Human_Swabs/Man/3m__BE7_01_1160.mzXML,reverse phase (C18),impact Series,healthy
MSV000078556/ccms_peak/Human_Swabs/Man/3m__BE8_01_1161.mzXML,reverse phase (C18),impact Series,healthy
MSV000078556/ccms_peak/Human_Swabs/Man/3m__BE9_01_1162.mzXML,reverse phase (C18),impact Series,healthy
MSV000078556/ccms_peak/Human_Swabs/Man/3m__BF11_01_1176.mzXML,reverse phase (C18),impact Series,unknown
MSV000078556/ccms_peak/Human_Swabs/Man/3m__BF12_01_1177.mzXML,reverse phase (C18),impact Series,unknown
MSV000078556/ccms_peak/Human_Swabs/Man/3m__BF1_01_1166.mzXML,reverse phase (C18),impact Series,unknown
MSV000078556/ccms_peak/Human_Swabs/Man/3m__BF2_01_1167.mzXML,reverse phase (C18),impact Series,unknown
MSV000078556/ccms_peak/Human_Swabs/Man/3m__BF3_01_1168.mzXML,reverse phase (C18),impact Series,unknown
MSV000078556/ccms_peak/Human_Swabs/Man/3m__BF4_01_1169.mzXML,reverse phase (C18),impact Series,unknown
MSV000078556/ccms_peak/Human_Swabs/Man/3m__BF5_01_1170.mzXML,reverse phase (C18),impact Series,unknown
MSV000078556/ccms_peak/Human_Swabs/Man/3m__BF6_01_1171.mzXML,reverse phase (C18),impact Series,unknown
MSV000078556/ccms_peak/Human_Swabs/Man/3m__BF7_01_1172.mzXML,reverse phase (C18),impact Series,unknown
MSV000078556/ccms_peak/Human_Swabs/Man/3m__BF8_01_1173.mzXML,reverse phase (C18),impact Series,unknown
MSV000078556/ccms_peak/Human_Swabs/Man/3m__BF9_01_1174.mzXML,reverse phase (C18),impact Series,unknown
MSV000078556/ccms_peak/Human_Swabs/Man/3m__BG10_01_1187.mzXML,reverse phase (C18),impact Series,unknown
MSV000078556/ccms_peak/Human_Swabs/Man/3m__BG11_01_1188.mzXML,reverse phase (C18),impact Series,unknown
MSV000078556/ccms_peak/Human_Swabs/Man/3m__BG12_01_1189.mzXML,reverse phase (C18),impact Series,unknown
MSV000078556/ccms_peak/Human_Swabs/Man/3m__BG1_01_1178.mzXML,reverse phase (C18),impact Series,unknown
MSV000078556/ccms_peak/Human_Swabs/Man/3m__BG2_01_1179.mzXML,reverse phase (C18),impact Series,unknown
MSV000078556/ccms_peak/Human_Swabs/Man/3m__BG3_01_1180.mzXML,reverse phase (C18),impact Series,unknown
MSV000078556/ccms_peak/Human_Swabs/Man/3m__BG4_01_1181.mzXML,reverse phase (C18),impact Series,unknown
MSV000078556/ccms_peak/Human_Swabs/Man/3m__BG5_01_1182.mzXML,reverse phase (C18),impact Series,unknown
MSV000078556/ccms_peak/Human_Swabs/Man/3m__BG6_01_1183.mzXML,reverse phase (C18),impact Series,unknown
MSV000078556/ccms_peak/Human_Swabs/Man/3m__BG7_01_1184.mzXML,reverse phase (C18),impact Series,unknown
MSV000078556/ccms_peak/Human_Swabs/Man/3m__BG8_01_1185.mzXML,reverse phase (C18),impact Series,unknown
MSV000078556/ccms_peak/Human_Swabs/Man/3m__BG9_01_1186.mzXML,reverse phase (C18),impact Series,unknown
MSV000078556/ccms_peak/Human_Swabs/Man/3m__BH10_01_1199.mzXML,reverse phase (C18),impact Series,unknown
MSV000078556/ccms_peak/Human_Swabs/Man/3m__BH11_01_1200.mzXML,reverse phase (C18),impact Series,unknown
MSV000078556/ccms_peak/Human_Swabs/Man/3m__BH1_01_1190.mzXML,reverse phase (C18),impact Series,unknown
MSV000078556/ccms_peak/Human_Swabs/Man/3m__BH2_01_1191.mzXML,reverse phase (C18),impact Series,unknown
MSV000078556/ccms_peak/Human_Swabs/Man/3m__BH3_01_1192.mzXML,reverse phase (C18),impact Series,unknown
MSV000078556/ccms_peak/Human_Swabs/Man/3m__BH4_01_1193.mzXML,reverse phase (C18),impact Series,unknown
MSV000078556/ccms_peak/Human_Swabs/Man/3m__BH5_01_1194.mzXML,reverse phase (C18),impact Series,unknown
MSV000078556/ccms_peak/Human_Swabs/Man/3m__BH6_01_1195.mzXML,reverse phase (C18),impact Series,unknown
MSV000078556/ccms_peak/Human_Swabs/Man/3m__BH7_01_1196.mzXML,reverse phase (C18),impact Series,unknown
MSV000078556/ccms_peak/Human_Swabs/Man/3m__BH8_01_1197.mzXML,reverse phase (C18),impact Series,unknown
MSV000078556/ccms_peak/Human_Swabs/Man/3m__BH9_01_1198.mzXML,reverse phase (C18),impact Series,unknown
MSV000078556/ccms_peak/Human_Swabs/Man/4m__BA10_01_1216.mzXML,reverse phase (C18),impact Series,healthy
MSV000078556/ccms_peak/Human_Swabs/Man/4m__BA5_01_1211.mzXML,reverse phase (C18),impact Series,healthy
MSV000078556/ccms_peak/Human_Swabs/Man/4m__BA7_01_1213.mzXML,reverse phase (C18),impact Series,healthy
MSV000078556/ccms_peak/Human_Swabs/Man/4m__BA8_01_1214.mzXML,reverse phase (C18),impact Series,healthy
MSV000078556/ccms_peak/Human_Swabs/Man/4m__BA9_01_1215.mzXML,reverse phase (C18),impact Series,healthy
MSV000078556/ccms_peak/Human_Swabs/Man/4m__BB10_01_1228.mzXML,reverse phase (C18),impact Series,healthy
MSV000078556/ccms_peak/Human_Swabs/Man/4m__BB11_01_1229.mzXML,reverse phase (C18),impact Series,healthy
MSV000078556/ccms_peak/Human_Swabs/Man/4m__BB12_01_1230.mzXML,reverse phase (C18),impact Series,healthy
MSV000078556/ccms_peak/Human_Swabs/Man/4m__BB3_01_1221.mzXML,reverse phase (C18),impact Series,healthy
MSV000078556/ccms_peak/Human_Swabs/Man/4m__BB4_01_1222.mzXML,reverse phase (C18),impact Series,healthy
MSV000078556/ccms_peak/Human_Swabs/Man/4m__BB8_01_1226.mzXML,reverse phase (C18),impact Series,healthy
MSV000078556/ccms_peak/Human_Swabs/Man/4m__BC10_01_1240.mzXML,reverse phase (C18),impact Series,healthy
MSV000078556/ccms_peak/Human_Swabs/Man/4m__BC11_01_1241.mzXML,reverse phase (C18),impact Series,healthy
MSV000078556/ccms_peak/Human_Swabs/Man/4m__BC12_01_1242.mzXML,reverse phase (C18),impact Series,healthy
MSV000078556/ccms_peak/Human_Swabs/Man/4m__BC1_01_1231.mzXML,reverse phase (C18),impact Series,healthy
MSV000078556/ccms_peak/Human_Swabs/Man/4m__BC2_01_1232.mzXML,reverse phase (C18),impact Series,healthy
MSV000078556/ccms_peak/Human_Swabs/Man/4m__BC3_01_1233.mzXML,reverse phase (C18),impact Series,healthy
MSV000078556/ccms_peak/Human_Swabs/Man/4m__BC4_01_1234.mzXML,reverse phase (C18),impact Series,healthy
MSV000078556/ccms_peak/Human_Swabs/Man/4m__BC5_01_1235.mzXML,reverse phase (C18),impact Series,healthy
MSV000078556/ccms_peak/Human_Swabs/Man/4m__BC8_01_1238.mzXML,reverse phase (C18),impact Series,healthy
MSV000078556/ccms_peak/Human_Swabs/Man/4m__BC9_01_1239.mzXML,reverse phase (C18),impact Series,healthy
MSV000078556/ccms_peak/Human_Swabs/Man/4m__BD1_01_1243.mzXML,reverse phase (C18),impact Series,healthy
MSV000078556/ccms_peak/Human_Swabs/Man/4m__BD2_01_1244.mzXML,reverse phase (C18),impact Series,healthy
MSV000078556/ccms_peak/Human_Swabs/Man/4m__BD3_01_1245.mzXML,reverse phase (C18),impact Series,healthy
MSV000078556/ccms_peak/Human_Swabs/Man/4m__BD4_01_1246.mzXML,reverse phase (C18),impact Series,healthy
MSV000078556/ccms_peak/Human_Swabs/Man/4m__BD5_01_1247.mzXML,reverse phase (C18),impact Series,healthy
MSV000078556/ccms_peak/Human_Swabs/Man/4m__BD8_01_1250.mzXML,reverse phase (C18),impact Series,healthy
MSV000078556/ccms_peak/Human_Swabs/Man/4m__BE11_01_1265.mzXML,reverse phase (C18),impact Series,unknown
MSV000078556/ccms_peak/Human_Swabs/Man/4m__BE12_01_1266.mzXML,reverse phase (C18),impact Series,unknown
MSV000078556/ccms_peak/Human_Swabs/Man/4m__BE1_01_1255.mzXML,reverse phase (C18),impact Series,unknown
MSV000078556/ccms_peak/Human_Swabs/Man/4m__BE2_01_1256.mzXML,reverse phase (C18),impact Series,unknown
MSV000078556/ccms_peak/Human_Swabs/Man/4m__BE3_01_1257.mzXML,reverse phase (C18),impact Series,unknown
MSV000078556/ccms_peak/Human_Swabs/Man/4m__BE5_01_1259.mzXML,reverse phase (C18),impact Series,unknown
MSV000078556/ccms_peak/Human_Swabs/Man/4m__BE6_01_1260.mzXML,reverse phase (C18),impact Series,unknown
MSV000078556/ccms_peak/Human_Swabs/Man/4m__BF1_01_1267.mzXML,reverse phase (C18),impact Series,healthy
